"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.82033363393499e-142,0.735984955891388,1,0.991,6.61060554557845e-138,"0","RPS12"
2.69772960527304e-140,0.678028262683348,1,0.994,3.69966638067144e-136,"0","RPS6"
2.72920103377246e-130,0.613802636931787,1,0.994,3.74282629771555e-126,"0","RPS14"
2.60740003243781e-128,0.596073641448432,1,0.995,3.57578840448521e-124,"0","RPL32"
4.9419320735492e-125,0.693697334718741,1,0.992,6.77736564566537e-121,"0","RPS27"
1.97772402308914e-120,0.751251181125595,0.998,0.974,2.71225072526444e-116,"0","RPS25"
7.3078926935102e-118,1.17649694407803,0.932,0.589,1.00220440398799e-113,"0","LDHB"
2.2852118591923e-116,0.753817637991597,0.998,0.963,3.13393954369632e-112,"0","RPL31"
1.79338672624097e-112,0.596621036883455,1,0.993,2.45945055636686e-108,"0","RPS3"
6.45505169435841e-110,0.726031261685359,1,0.969,8.85245789364313e-106,"0","RPL9"
1.92484227748755e-109,0.604963283514538,1,0.994,2.63972869934643e-105,"0","RPL3"
1.20975629698501e-106,0.657169759061075,1,0.988,1.65905978568524e-102,"0","RPL21"
6.20710719336878e-106,0.530649109860171,1,0.997,8.51242680498594e-102,"0","RPL13"
1.53454871801099e-104,0.55895917801366,1,0.986,2.10448011188027e-100,"0","EEF1A1"
3.37708605728502e-104,0.754971132038741,1,0.974,4.63133581896067e-100,"0","RPS3A"
3.3142331806405e-103,0.668348792686084,1,0.979,4.54513938393038e-99,"0","RPL30"
1.94563431832455e-97,0.583785331888445,1,0.989,2.66824290415029e-93,"0","RPLP2"
9.26575401389074e-97,0.602833881813823,0.998,0.983,1.27070550546498e-92,"0","RPS15A"
3.16644735584876e-95,0.733226957961767,0.998,0.964,4.34246590381098e-91,"0","RPS27A"
4.95427981198012e-95,0.721542991928597,0.994,0.955,6.79429933414953e-91,"0","RPS13"
1.73551896100112e-90,0.513637695975281,1,0.996,2.38009070311693e-86,"0","RPS18"
1.12784204949874e-87,0.465155762526746,1,0.999,1.54672258668257e-83,"0","RPL13A"
5.70812193971167e-87,0.561167356398833,1,0.979,7.82811842812059e-83,"0","RPL35A"
5.30675839959213e-86,0.439585930770297,1,0.996,7.27768846920064e-82,"0","RPL11"
6.91293505686126e-83,0.531483735298951,1,0.99,9.48039913697953e-79,"0","RPS4X"
4.92876494156778e-82,0.62053868986088,0.994,0.966,6.75930824086605e-78,"0","RPS28"
6.91489069309644e-82,0.590619514896175,0.997,0.981,9.48308109651245e-78,"0","TPT1"
2.62849661987398e-80,2.11607955020174,0.448,0.114,3.60472026449517e-76,"0","CCR7"
